Key,Vietnamese,English
MapBoss1.NPCTutorial1,"Chào cậu, Ta là người bị giam giữ lâu nhất ở lâu đài này","Hello there, I am the longest-held prisoner in this castle"
MapBoss1.NPCTutorial2,Ta có thể giúp ích được cho cậu đấy,I can help you
MapBoss1.NPCTutorial3,Đầu tiên hãy chọn vũ khí mà cậu nhặt được từ bản đồ trước đó,"First, choose the weapon you picked up from the map earlier"
MapBoss1.NPCTutorial4,Nhìn bên góc phải màn hình có ô vuông hãy nhấn vào và chọn Kiếm,"Look at the square in the top right corner of the screen, click on it and select the Sword"
MapBoss1.NPCTutorial5,Dùng nó để tiêu diệt những tên quái vật và lấy kinh nghiệm,Use it to defeat the monsters and gain experience
MapBoss1.NPCTutorial6,Khi lên cấp cậu hãy cẩn trọng nâng cấp các kỹ năng cần thiết,"When you level up, be careful to upgrade the necessary skills"
MapBoss1.NPCTutorial7,"Hãy tiến lên phía trước, cố lên nhé","Move forward, and good luck!"
,,
MapBoss1.NPC.1.1,,
MapBoss1.NPC.1.2,,
MapBoss1.NPC.1.3,,
,,
MapBoss1.NPC.2.1,,
MapBoss1.NPC.2.2,,
MapBoss1.NPC.2.3,,